stage_table_name	stage_column_name	database_uri	database_port	database_name	database_comment	database_type	database_is_shard	table_name	table_comment	table_theme	column_name	column_comment	column_type	column_is_primary_key	column_allow_null	column_is_sensitive	column_sensitive_type
S_M2A2_RF_XB_CREDIT	card_no	mydb-rfdata-vip-002.d.chinabank.com.cn	3306	rf_data_center	NA	mysql	0	rf_xb_credit	乡村白条授信表	其他	card_no	银行卡号	varchar(32)	0	1	1	卡号
S_HB2_CDS_BAITIAONEW_CDS0_NODE5_LOG	is_card_id	hbase-jr-nn01.pekdc1.jdfin.local:2181,hbase-jr-nn02.pekdc1.jdfin.local:2181,hbase-jr-nn03.pekdc1.jdfin.local:2181	2181	NA	NA	hbase	0	cds_baitiaonew_cds0_node5_log	白条开新四期_CDS0-节点5日志表	风控	is:card_id	银行卡号码	STRING	0	0	1	卡号
S_M0D_FIXED_TRANSFER_PAYMENT_RECORD	debit_payment	mydb-pla-vip-102.d.chinabank.com.cn	3306	fixed_transfer	NA	mysql	0	fixed_transfer_payment_record	定期付款还款记录表	支付	debit_payment	付款账户:余额账户,银行卡号,小金库账户	varchar(128)	0	0	1	卡号
S_Z63_CBE_PAYMENTINSTRUCTION	PAYACCOUNTNO	oradb-card-002.d.chinabank.com.cn	1521	card	croborder	oracle	0	cbe_paymentinstruction	付汇指令表	支付	PAYACCOUNTNO	付款方账户号	varchar2(64)	0	1	1	卡号
S_M0G_GDTRADEORDERDETAIL	card_no	db-tradescrt-02.pekdc1.jdfin.local	3306	trade_scrt	NA	mysql	0	gdtradeorderdetail	业务订单明细编号	理财	card_no	银行卡号	varchar(50)	0	1	1	卡号
S_Z67_CCMS_OUTA_OA_PMT_HIS	CARD_NUM	oradb-credit-001.d.chinabank.com.cn	1521	credit	cloudccms	oracle	0	CCMS_OUTA_OA_PMT_HIS	外包还款历史表	其他	CARD_NUM	卡号	varchar2(20)	0	1	1	卡号
S_M53_CORE_INFO_CHANGE	card_no	db-card-02.pekdc1.jdfin.local	3306	jr_online_card	NA	mysql	0	core_info_change	联名卡核心信息变更表	消费金融	card_no	卡号	varchar(100)	0	1	1	卡号
S_MY184_ACCOUNT_CARD	cardNo	db-pensionbusiness-0202.pekdc1.jdfin.local	3306	pensionAccount	NA	mysql	0	account_card	卡总账表	理财	cardNo	银行卡号	varchar(64)	0	1	1	卡号
s_m3h_bailian_member_info	cardNo	mydb-jrbailian-02.db.jdfin.local	3306	jr_bailian	NA	mysql	0	bailian_member_info	电子账户表	其他	cardNo	借记卡号	varchar(128)	0	1	1	卡号
S_MY465_SHUJUJ_ACCESS_PHONE_NUMBER_DETAIL_INFO	name	mydb-ext3rddatacache-02.db.jdfin.local	3306	ext3rddata_cache	NA	mysql	0	shujuj_access_phone_number_detail_info	数聚加（电信）手机号自然人接入号码个数查询明细表	外部数据	name	姓名	varchar(60)	0	1	1	卡号
S_Z67_CCMS_OUTA_OA_PMT	CARD_NUM	oradb-credit-001.d.chinabank.com.cn	1521	credit	cloudccms	oracle	0	CCMS_OUTA_OA_PMT	外包还款表	其他	CARD_NUM	卡号	varchar2(20)	0	1	1	卡号
S_MY473_OFF_EVERYDAY_INCOME	fund_bank_id	mydb-qyjk-02.db.jdfin.local	3306	qyjkdb	NA	mysql	0	off_everyday_income	线下每日收益	供应链金融	fund_bank_id	银行卡ID	varchar(20)	0	1	1	卡号
S_MY518_CHANNEL_SIGNING_FLOW_0001	card_no	mydb-channelquick-0002.db.jdfin.local	3306	channel_quick_00	NA	mysql	1	channel_signing_flow_0001	签约协议表	支付	card_no	卡号	varchar(100)	0	0	1	卡号
S_MY642_CUSTOMER_BANKCARD_LOG_000	bankcard_no	mydb-cucbankcard-0002.db.jdfin.local	3306	cuc_bankcard_00	NA	mysql	1	customer_bankcard_log_000	钱包会员绑卡日志表	支付	bankcard_no	银行卡号	varchar(32)	0	1	1	卡号
S_MY169_PURCHASERECORD	cardId	db-pensionbusiness-0102.pekdc1.jdfin.local	3306	pensionTrade	NA	mysql	0	purchaserecord	申购记录表	理财	cardId	cardId	varchar(32)	0	1	1	卡号
S_HB13_SERVYOU_TAXPAYER_BASE_INFO	cf_pay_account	172.25.207.126:2181,172.25.207.133:2181,172.25.207.79:2181,172.25.207.80:2181,172.25.207.81:2181	NA	credit	NA	hbase	0	bods:servyou_taxpayer_base_info	纳税人基本信息	供应链金融	cf:pay_account	企业缴款帐号	String	0	1	1	卡号
S_MY371_XIAOBAI_SECOND_ACCOUNT	first_account_no	mydb-xiaobaibankicbc-02.db.jdfin.local	3306	xiaobai_bank_icbc	NA	mysql	0	xiaobai_second_account	二类户开户表	APP	first_account_no	一类户账号	varchar(32)	0	0	1	卡号
S_M0M_JDBXXF_BANK_CACHE_DATA	bank_card	mydb-extdata-02.db.jdfin.local	3306	extdata	NA	mysql	0	jdbxxf_bank_cache_data	银行卡四要素缓存表	外部数据	bank_card	银行卡	varchar(50)	0	1	1	卡号
S_MY531_MERCHANT_ACCOUNT_DETAILS_000	card_no	mydb-merchantfundflow-0002.db.jdfin.local	3306	merchant_fundflow_00	NA	mysql	1	merchant_account_details_000	企业站账务流水表	其他	card_no	卡号	varchar(64)	0	1	1	卡号
S_Z63_CBE_PAYMENTINSTRUCTION	RECACCOUNTNO	oradb-card-002.d.chinabank.com.cn	1521	card	croborder	oracle	0	cbe_paymentinstruction	付汇指令表	支付	RECACCOUNTNO	收款账户号	varchar2(64)	0	1	1	卡号
S_MY39R_BILL_PAY_0000	realCardId	db-bt-0002.pekdc1.jdfin.local	3358	credit_bt_00	NA	mysql	1	bill_pay_0000	账单还款支付表	消费金融	realCardId	真实卡id	varchar(64)	0	1	1	卡号
S_MY325_TEAM_INVOICE	companyBankCardNo	mydb-jrdatabiao-02.db.jdfin.local	3306	jrdata_biao_01	NA	mysql	0	team_invoice	企业工会开发票信息表	其他	companyBankCardNo	银行账户	varchar(50)	0	1	1	卡号
S_MY542_CBE_RMB_PAYINSTRUCTION	pay_account_no	mydb-croborder-02.db.jdfin.local	3306	croborder	NA	mysql	0	cbe_rmb_payinstruction	跨境人民币付汇指令表	支付	pay_account_no	付款方账户号	varchar(64)	0	1	1	卡号
S_MY371_XIAOBAI_CAL_SCHEDULE_INFO	sec_account_no	mydb-xiaobaibankicbc-02.db.jdfin.local	3306	xiaobai_bank_icbc	NA	mysql	0	xiaobai_cal_schedule_info	金融日历定时转入设置表	APP	sec_account_no	二类户账号	varchar(32)	1	0	1	卡号
S_MY526_CTRADE_ORDER	spec_card_id	mydb-mktmerchant-02.db.jdfin.local	3306	mkt_merchant	NA	mysql	0	ctrade_order	交易记录表	支付	spec_card_id	银行卡id	varchar(64)	0	1	1	卡号
S_MY371_XIAOBAI_FUND_PURCHASE_INFO	card_no	mydb-xiaobaibankicbc-02.db.jdfin.local	3306	xiaobai_bank_icbc	NA	mysql	0	xiaobai_fund_purchase_info	货基申购信息表	APP	card_no	客户卡号, 二类户卡号	varchar(19)	0	0	1	卡号
S_MY324_TRANSFER_RECORD	debit_payment	mydb-supertransfer-02.db.jdfin.local	3306	super_transfer	NA	mysql	0	transfer_record	转账记录表	APP	debit_payment	付款账户:1-银行卡号(带*加密)	varchar(128)	0	0	1	卡号
S_M0M2_TENCENT_ANTI_FRAUD_DETAIL_EXCEPTION_ENVIRONMENT	bank_card	mydb-extdata-02.db.jdfin.local	3306	extdata	NA	mysql	0	tencent_anti_fraud_detail_exception_environment	腾讯反欺诈异常环境信息明细表	外部数据	bank_card	银行卡号	varchar(50)	0	1	1	卡号
S_MY333_ACCCARD	CARDNO	mydb-yhlc-02.db.jdfin.local	3306	yhlc	NA	mysql	0	acccard	卡账户表	理财	CARDNO	银行卡号	varchar(64)	0	1	1	卡号
S_S11_SRM_BT_EXT_CASHIER_LOG	os_card_id	hbase-cds-nn01.pekdc1.jdfin.local:2181,hbase-cds-nn02.pekdc1.jdfin.local:2181,hbase-cds-nn03.pekdc1.jdfin.local:2181	2181	credit	NA	hbase	0	srm_bt_ext_cashier_log	外部收银台开白条CDS日志表	消费金融	os:card_id	银行卡号码	STRING	0	0	1	卡号
S_MY295_KERNEL_WITHDRAW_0000	bank_card_no	mydb-xjkbrcard-0102.db.jdfin.local	3306	xjk_brcard_01	NA	mysql	1	kernel_withdraw_0000	转出表	理财	bank_card_no	银行卡号	varchar(32)	0	0	1	卡号
S_M4E_ACCOUNT_DETAIL	account_no	db-jdabs-02.pekdc1.jdfin.local	3306	jdabs	NA	mysql	0	account_detail	供应链ABS账户信息表	其他	account_no	账户：如账户类型是银行卡，则是银行卡编号，如是虚拟账户，则为第三方商户号	varchar(200)	0	1	1	卡号
S_M0M2_TENCENT_ANTI_FRAUD_DETAIL_BASIC	bank_card	mydb-extdata-02.db.jdfin.local	3306	extdata	NA	mysql	0	tencent_anti_fraud_detail_basic	腾讯反欺诈基础信息明细表	外部数据	bank_card	银行卡号	varchar(50)	0	1	1	卡号
S_M0G_SUBSCRIBE_REDEMPTION	card_no	db-tradescrt-02.pekdc1.jdfin.local	3306	trade_scrt	NA	mysql	0	subscribe_redemption	券商理财预约赎回信息表	理财	card_no	银行卡号	varchar(50)	0	1	1	卡号
s_m4w_td_order_risk_info_x	payeeAcct	db-btpay-0002.db.jdfin.local	3306	bt_pay_00	NA	mysql	1	td_order_risk_info_0000	支付收单-风控字段	消费金融	payeeAcct	收款方账号	varchar(200)	0	1	1	卡号
S_M5J_T_CCB_LOAN_INFO	repayment_account_no	db-creditfactory-02.pekdc1.jdfin.local	3306	ecif	NA	mysql	0	t_ccb_loan_info	建行快贷放款数据	其他	repayment_account_no	还款账号	varchar(40)	0	1	1	卡号
